State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,05-07-2007,2175,2295,2235,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,13-07-2007,2055,2135,2095,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,21-07-2007,2115,2175,2145,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,23-07-2007,2035,2155,2095,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,27-07-2007,1990,2150,2070,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,05-12-2002,2390,2390,2390,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,05-01-2006,1501,1820,1769,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,25-01-2006,1321,1780,1649,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,31-01-2006,1479,1627,1589,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,14-02-2006,1400,1679,1640,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,15-02-2006,1480,1640,1572,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,20-02-2006,1435,1599,1530,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,22-02-2006,1450,1580,1565,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,27-03-2006,1415,1846,1801,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,04-04-2006,1450,1946,1840,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,10-04-2006,1480,1950,1920,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,22-04-2006,1452,1980,1915,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,25-04-2006,1451,2001,1950,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,27-04-2006,1505,1999,1965,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,28-04-2006,1590,2022,1990,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,02-05-2006,1450,1966,1929,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,10-05-2006,1802,2322,2265,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,06-10-2006,2100,2897,2861,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,13-08-2005,1425,1671,1671,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,16-08-2005,1550,1683,1642,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,20-08-2005,1676,1676,1676,7
